image,image_id,split,source,od_x,od_y,fovea_x,fovea_y
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_001.jpg,IDRiD_001,train,idrid,2858,1805,1494,1970
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_001.jpg,IDRiD_001,test,idrid,651,1453,1914,1617
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_002.jpg,IDRiD_002,train,idrid,943,1119,2270,1329
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_002.jpg,IDRiD_002,test,idrid,3158,1280,1922,1468
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_003.jpg,IDRiD_003,train,idrid,779,1269,2109,1351
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_003.jpg,IDRiD_003,test,idrid,1101,1374,2566,1591
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_004.jpg,IDRiD_004,train,idrid,1292,1284,2679,1453
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_004.jpg,IDRiD_004,test,idrid,2881,1430,1562,1550
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_005.jpg,IDRiD_005,train,idrid,1037,1198,2244,1404
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_005.jpg,IDRiD_005,test,idrid,2840,1175,1757,1310
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_006.jpg,IDRiD_006,train,idrid,602,1378,1944,1554
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_006.jpg,IDRiD_006,test,idrid,2963,1501,1745,1580
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_007.jpg,IDRiD_007,train,idrid,3420,1411,2064,1359
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_007.jpg,IDRiD_007,test,idrid,842,1374,2315,1505
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_008.jpg,IDRiD_008,train,idrid,943,857,2195,1314
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_008.jpg,IDRiD_008,test,idrid,895,1299,2203,1483
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_009.jpg,IDRiD_009,train,idrid,3072,1160,1922,1396
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_009.jpg,IDRiD_009,test,idrid,3241,1591,2011,1670
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_010.jpg,IDRiD_010,train,idrid,2484,1426,1210,1576
