image_id,image,split,subset
IDRiD_001,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_001.jpg,train,grading
IDRiD_001,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_001.jpg,test,grading
IDRiD_002,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_002.jpg,train,grading
IDRiD_002,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_002.jpg,test,grading
IDRiD_003,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_003.jpg,train,grading
IDRiD_003,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_003.jpg,test,grading
IDRiD_004,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_004.jpg,train,grading
IDRiD_004,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_004.jpg,test,grading
IDRiD_005,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_005.jpg,train,grading
IDRiD_005,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_005.jpg,test,grading
IDRiD_006,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_006.jpg,train,grading
IDRiD_006,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_006.jpg,test,grading
IDRiD_007,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_007.jpg,train,grading
IDRiD_007,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_007.jpg,test,grading
IDRiD_008,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_008.jpg,train,grading
IDRiD_008,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_008.jpg,test,grading
IDRiD_009,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_009.jpg,train,grading
IDRiD_009,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_009.jpg,test,grading
IDRiD_010,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_010.jpg,train,grading
IDRiD_010,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_010.jpg,test,grading
IDRiD_011,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_011.jpg,train,grading
IDRiD_011,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_011.jpg,test,grading
IDRiD_012,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_012.jpg,train,grading
IDRiD_012,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_012.jpg,test,grading
IDRiD_013,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_013.jpg,train,grading
IDRiD_013,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_013.jpg,test,grading
IDRiD_014,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_014.jpg,train,grading
IDRiD_014,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_014.jpg,test,grading
IDRiD_015,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_015.jpg,train,grading
IDRiD_015,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_015.jpg,test,grading
IDRiD_016,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_016.jpg,train,grading
IDRiD_016,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_016.jpg,test,grading
IDRiD_017,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_017.jpg,train,grading
IDRiD_017,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_017.jpg,test,grading
IDRiD_018,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_018.jpg,train,grading
IDRiD_018,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_018.jpg,test,grading
IDRiD_019,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_019.jpg,train,grading
IDRiD_019,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_019.jpg,test,grading
IDRiD_020,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_020.jpg,train,grading
IDRiD_020,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_020.jpg,test,grading
IDRiD_021,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_021.jpg,train,grading
